マンション名,住所,築年数,階層,賃料料,管理費,間取り,専有面積,詳細URL,敷金,礼金,路線1,駅1,階1,間取りDK,間取りK,間取りL,間取りS,区,市町村,予測値との差,予測値,賃料料+管理費
斎藤マンション,東京都新宿区新小川町,50,3階,60000.0,3000,1,172.0,https://suumo.jp/chintai/jnc_000025574385/?bc=100319626062,0.0,0.0,ＪＲ中央線,飯田橋駅,3.0,0,1,0,0,新宿区,新小川町,-178996.3826917934,241996.3826917934,63000.0
パレステュディオ新宿パークサイド,東京都新宿区西新宿４,20,7階,89500.0,9500,1,23.22,https://suumo.jp/chintai/jnc_000079217963/?bc=100317090131,0.0,89500.0,都営大江戸線,西新宿五丁目駅,7.0,0,1,0,0,新宿区,西新宿４,-178748.22101182083,277748.22101182083,99000.0
ＳＫＹＶＩＬＬＡ－Ｋ,東京都新宿区西落合４,32,1階,50000.0,0,1,142.0,https://suumo.jp/chintai/jnc_000075687006/?bc=100283355718,0.0,0.0,西武池袋線,東長崎駅,1.0,0,0,0,0,新宿区,西落合４,-178261.03765790223,228261.03765790223,50000.0
中落合ヒルサイドテラス,東京都新宿区中落合２,38,1階,60000.0,0,1,202.0,https://suumo.jp/chintai/jnc_000078404077/?bc=100251773218,60000.0,0.0,都営大江戸線,中井駅,1.0,0,1,0,0,新宿区,中落合２,-177860.66913545615,237860.66913545615,60000.0
ＪＲ中央線 四ツ谷駅 4階建 築51年,東京都新宿区四谷坂町,51,2階,67000.0,3000,1,282.0,https://suumo.jp/chintai/jnc_000080864916/?bc=100319464551,67000.0,0.0,ＪＲ中央線,四ツ谷駅,2.0,0,0,0,0,新宿区,四谷坂町,-177836.2285856732,247836.2285856732,70000.0
パレステュディオ新宿パークサイド,東京都新宿区西新宿４,20,3階,92000.0,8000,1,23.22,https://suumo.jp/chintai/jnc_000080583019/?bc=100318141294,0.0,92000.0,都営大江戸線,西新宿五丁目駅,3.0,0,1,0,0,新宿区,西新宿４,-177748.22101182083,277748.22101182083,100000.0
町田アパートメント,東京都新宿区若葉３,53,2階,103000.0,0,2,332.0,https://suumo.jp/chintai/jnc_000080872950/?bc=100319295802,103000.0,103000.0,ＪＲ中央線,信濃町駅,2.0,1,0,0,0,新宿区,若葉３,-177720.57713142427,280720.5771314243,103000.0
ＪＲ山手線 目白駅 5階建 築54年,東京都新宿区下落合３,54,1階,67000.0,3000,1,17.432,https://suumo.jp/chintai/jnc_000059487581/?bc=100315937388,0.0,0.0,ＪＲ山手線,目白駅,1.0,0,0,0,0,新宿区,下落合３,-177676.96347673246,247676.96347673246,70000.0
レリオン下落合,東京都新宿区下落合４,17,B1-1階,104000.0,8000,1,29.672,https://suumo.jp/chintai/jnc_000070639039/?bc=100186295404,104000.0,0.0,西武新宿線,下落合駅,-1.0,0,1,0,0,新宿区,下落合４,-177356.59643726627,289356.5964372663,112000.0
東京メトロ丸ノ内線 四谷三丁目駅 4階建 築40年,東京都新宿区荒木町,40,2階,67000.0,2000,1,19.82,https://suumo.jp/chintai/jnc_000080318649/?bc=100252866241,67000.0,0.0,東京メトロ丸ノ内線,四谷三丁目駅,2.0,0,1,0,0,新宿区,荒木町,-177252.79631654837,246252.79631654837,69000.0
東京メトロ東西線 早稲田駅 地下1地上5階建 築37年,東京都新宿区喜久井町,37,4階,82000.0,0,1,26.192,https://suumo.jp/chintai/jnc_000048182723/?bc=100319464683,0.0,0.0,東京メトロ東西線,早稲田駅,4.0,0,1,0,0,新宿区,喜久井町,-176158.65758403373,258158.65758403373,82000.0
メゾン・ド・ＡＫＥＢＯＮＯ,東京都新宿区住吉町,36,3階,68000.0,5000,1,20.162,https://suumo.jp/chintai/jnc_000080812215/?bc=100318917439,68000.0,68000.0,都営新宿線,曙橋駅,3.0,0,0,0,0,新宿区,住吉町,-176101.52178194767,249101.52178194767,73000.0
ビューロー天神町,東京都新宿区天神町,34,3階,80000.0,3000,1,252.0,https://suumo.jp/chintai/jnc_000079865537/?bc=100318527753,80000.0,80000.0,東京メトロ東西線,神楽坂駅,3.0,0,1,0,0,新宿区,天神町,-175904.7472976869,258904.7472976869,83000.0
レリオン下落合,東京都新宿区下落合４,17,1階,104000.0,10000,1,29.672,https://suumo.jp/chintai/jnc_000070538499/?bc=100314918218,104000.0,0.0,西武新宿線,下落合駅,1.0,1,0,0,0,新宿区,下落合４,-175356.59643726627,289356.5964372663,114000.0
東京メトロ丸ノ内線 四谷三丁目駅 4階建 築40年,東京都新宿区荒木町,40,2階,69000.0,2000,1,232.0,https://suumo.jp/chintai/jnc_000038626494/?bc=100314764020,69000.0,0.0,東京メトロ丸ノ内線,四谷三丁目駅,2.0,0,1,0,0,新宿区,荒木町,-175252.79631654837,246252.79631654837,71000.0
グランエッグス四谷S,東京都新宿区舟町,0,1階,84000.0,4000,1,162.0,https://suumo.jp/chintai/jnc_000079110553/?bc=100309744084,84000.0,0.0,都営新宿線,曙橋駅,1.0,0,0,0,0,新宿区,舟町,-174697.81713376718,262697.8171337672,88000.0
Ｆｕｌｌｅａ西落合(フレアニシオチアイ),東京都新宿区西落合１,2,4階,97000.0,9000,1,22.842,https://suumo.jp/chintai/jnc_000066502609/?bc=100314673139,97000.0,0.0,都営大江戸線,落合南長崎駅,4.0,0,1,0,0,新宿区,西落合１,-174309.6678779907,280309.6678779907,106000.0
ABCステーションプラザ新宿中井,東京都新宿区中井１,22,6階,69000.0,7000,1,19.472,https://suumo.jp/chintai/jnc_000045057683/?bc=100318469096,69000.0,69000.0,都営大江戸線,中井駅,6.0,0,1,0,0,新宿区,中井１,-174181.245935716,250181.245935716,76000.0
メゾンTO,東京都新宿区北新宿３,38,2階,76000.0,2000,1,202.0,https://suumo.jp/chintai/jnc_000080270144/?bc=100301744187,76000.0,0.0,ＪＲ中央線,大久保駅,2.0,0,0,0,0,新宿区,北新宿３,-173868.86580716557,251868.86580716557,78000.0
ＬＩＦＥ　ＢＡＳＥ西新宿,東京都新宿区西新宿４,0,3階,83000.0,8000,1,13.732,https://suumo.jp/chintai/jnc_000079076157/?bc=100309417627,0.0,0.0,都営大江戸線,西新宿五丁目駅,3.0,0,0,0,0,新宿区,西新宿４,-173675.3671608356,264675.3671608356,91000.0
都営大江戸線 東新宿駅 地下1地上11階建 築39年,東京都新宿区大久保２,39,4階,80000.0,3000,1,25.572,https://suumo.jp/chintai/jnc_000068125599/?bc=100306315310,80000.0,80000.0,都営大江戸線,東新宿駅,4.0,0,0,0,0,新宿区,大久保２,-173026.01033064316,256026.01033064316,83000.0
QUQURI北新宿【ククリ北新宿】,東京都新宿区北新宿３,3,1階,70500.0,5000,1,9.032,https://suumo.jp/chintai/jnc_000063926313/?bc=100319132074,0.0,0.0,ＪＲ中央線,大久保駅,1.0,0,0,0,0,新宿区,北新宿３,-172896.81763653882,248396.81763653882,75500.0
コーポ高田,東京都新宿区高田馬場２,54,2階,65000.0,0,1,182.0,https://suumo.jp/chintai/jnc_000034065378/?bc=100313982656,65000.0,65000.0,ＪＲ山手線,高田馬場駅,2.0,0,0,0,0,新宿区,高田馬場２,-172214.0130992497,237214.0130992497,65000.0
都営大江戸線 落合南長崎駅 4階建 築44年,東京都新宿区中落合３,44,4階,55000.0,0,1,14.32,https://suumo.jp/chintai/jnc_000077739840/?bc=100302274133,0.0,0.0,都営大江戸線,落合南長崎駅,4.0,0,0,0,0,新宿区,中落合３,-172149.66542999382,227149.66542999382,55000.0
トーシン・プラネット新宿,東京都新宿区北新宿４,31,4階,65000.0,4000,1,21.142,https://suumo.jp/chintai/jnc_000076034498/?bc=100283306352,0.0,65000.0,都営大江戸線,東中野駅,4.0,0,0,0,0,新宿区,北新宿４,-172012.87512792152,241012.87512792152,69000.0
ＪＲ山手線 高田馬場駅 2階建 築8年,東京都新宿区下落合４,8,2階,65000.0,5000,1,9.642,https://suumo.jp/chintai/jnc_000044890500/?bc=100301942789,0.0,0.0,ＪＲ山手線,高田馬場駅,2.0,0,0,0,0,新宿区,下落合４,-172001.17377520143,242001.17377520143,70000.0
アーバンプレイス高田馬場C,東京都新宿区上落合１,15,2階,59000.0,3000,1,122.0,https://suumo.jp/chintai/jnc_000080715695/?bc=100319132075,0.0,0.0,東京メトロ東西線,落合駅,2.0,0,0,0,0,新宿区,上落合１,-171916.2741887287,233916.2741887287,62000.0
キングスガ－デン神楽坂,東京都新宿区南榎町,33,1階,57000.0,0,1,132.0,https://suumo.jp/chintai/jnc_000067547903/?bc=100311750309,0.0,0.0,東京メトロ東西線,神楽坂駅,1.0,0,0,0,0,新宿区,南榎町,-171886.96888080263,228886.96888080263,57000.0
グランエッグス四谷S,東京都新宿区舟町,0,1階,87000.0,4000,1,16.642,https://suumo.jp/chintai/jnc_000079110555/?bc=100309883434,87000.0,0.0,都営新宿線,曙橋駅,1.0,0,0,0,0,新宿区,舟町,-171697.81713376718,262697.8171337672,91000.0
ABCステーションプラザ新宿中井,東京都新宿区中井１,22,3階,72000.0,8000,1,19.492,https://suumo.jp/chintai/jnc_000077071654/?bc=100313323723,0.0,0.0,都営大江戸線,中井駅,3.0,0,1,0,0,新宿区,中井１,-171684.7513704204,251684.7513704204,80000.0
静荘,東京都新宿区四谷坂町,54,1階,55000.0,0,1,16.82,https://suumo.jp/chintai/jnc_000080781236/?bc=100318749421,55000.0,55000.0,ＪＲ中央線,四ツ谷駅,1.0,0,0,0,0,新宿区,四谷坂町,-171078.57328590733,226078.57328590733,55000.0
レオパレスＲＸコスモＭ,東京都新宿区北新宿３,34,1階,82000.0,6500,1,22.42,https://suumo.jp/chintai/jnc_000080549116/?bc=100317468294,0.0,0.0,ＪＲ中央線,大久保駅,1.0,0,1,0,0,新宿区,北新宿３,-170897.67347560203,259397.67347560203,88500.0
グランエッグス四谷S,東京都新宿区舟町,0,2階,88000.0,4000,1,16.162,https://suumo.jp/chintai/jnc_000079110556/?bc=100316866831,88000.0,0.0,都営新宿線,曙橋駅,2.0,0,0,0,0,新宿区,舟町,-170697.81713376718,262697.8171337672,92000.0
ユーパレス,東京都新宿区市谷柳町,19,1階,64000.0,3000,1,18.722,https://suumo.jp/chintai/jnc_000080262650/?bc=100315995346,0.0,64000.0,都営大江戸線,牛込柳町駅,1.0,0,0,0,0,新宿区,市谷柳町,-170577.42887147612,237577.42887147612,67000.0
メインステージ西新宿ＩＩ,東京都新宿区西新宿４,12,2階,93500.0,15000,1,25.982,https://suumo.jp/chintai/jnc_000079740539/?bc=100312995973,0.0,93500.0,京王新線,初台駅,2.0,0,1,0,0,新宿区,西新宿４,-170419.64856943296,278919.64856943296,108500.0
グリーンコート下落合,東京都新宿区下落合２,34,1階,59000.0,3000,1,16.192,https://suumo.jp/chintai/jnc_000079472156/?bc=100313591706,59000.0,59000.0,ＪＲ山手線,目白駅,1.0,0,1,0,0,新宿区,下落合２,-170367.10289975375,232367.10289975375,62000.0
CITY　SPIRE西新宿,東京都新宿区西新宿４,17,3階,111000.0,10500,1,18.092,https://suumo.jp/chintai/jnc_000046073502/?bc=100249476002,0.0,111000.0,都営大江戸線,西新宿五丁目駅,3.0,0,1,0,0,新宿区,西新宿４,-169223.28498451068,290723.2849845107,121500.0
ヴィラジョイヤ,東京都新宿区大京町,25,2階,78000.0,2000,1,22.782,https://suumo.jp/chintai/jnc_000073881391/?bc=100314256005,78000.0,0.0,東京メトロ丸ノ内線,四谷三丁目駅,2.0,0,0,0,0,新宿区,大京町,-169077.04577283407,249077.04577283407,80000.0
都営新宿線 新宿三丁目駅 5階建 築42年,東京都新宿区新宿５,42,5階,86000.0,3000,1,312.0,https://suumo.jp/chintai/jnc_000080881349/?bc=100319325362,172000.0,86000.0,都営新宿線,新宿三丁目駅,5.0,0,0,0,0,新宿区,新宿５,-168389.42595485155,257389.42595485155,89000.0
サン・メグ,東京都新宿区下落合２,22,1階,74000.0,4000,1,22.52,https://suumo.jp/chintai/jnc_000080575741/?bc=100317576623,74000.0,74000.0,ＪＲ山手線,高田馬場駅,1.0,0,1,0,0,新宿区,下落合２,-167829.4226896543,245829.4226896543,78000.0
コスモシティ市ヶ谷,東京都新宿区箪笥町,36,3階,65000.0,5000,1,19.742,https://suumo.jp/chintai/jnc_000016885384/?bc=100307944111,65000.0,65000.0,都営大江戸線,牛込神楽坂駅,3.0,0,0,0,0,新宿区,箪笥町,-167466.07972064972,237466.07972064972,70000.0
トーシン・プラネット新宿,東京都新宿区北新宿４,31,5階,68000.0,5000,1,21.142,https://suumo.jp/chintai/jnc_000076034499/?bc=100319436874,68000.0,68000.0,都営大江戸線,東中野駅,5.0,0,0,0,0,新宿区,北新宿４,-166816.53671792534,239816.53671792534,73000.0
東京メトロ東西線 神楽坂駅 10階建 築46年,東京都新宿区東五軒町,46,5階,64000.0,5000,1,19.842,https://suumo.jp/chintai/jnc_000061723108/?bc=100319472044,0.0,0.0,東京メトロ東西線,神楽坂駅,5.0,0,0,0,0,新宿区,東五軒町,-166643.63360698379,235643.63360698379,69000.0
レリオン下落合,東京都新宿区下落合４,17,5階,85000.0,8000,1,19.032,https://suumo.jp/chintai/jnc_000078995362/?bc=100318076860,85000.0,0.0,西武新宿線,下落合駅,5.0,0,0,0,0,新宿区,下落合４,-166586.371168994,259586.371168994,93000.0
プラティーク新宿曙橋（旧マリオン曙橋）,東京都新宿区住吉町,36,3階,68000.0,5000,1,17.62,https://suumo.jp/chintai/jnc_000031959478/?bc=100289624921,0.0,34000.0,都営新宿線,曙橋駅,3.0,0,0,0,0,新宿区,住吉町,-166177.23363238655,239177.23363238655,73000.0
ＪＲ総武線 飯田橋駅 3階建 築33年,東京都新宿区北町,33,1階,86000.0,3000,1,25.112,https://suumo.jp/chintai/jnc_000079769580/?bc=100313082482,86000.0,86000.0,ＪＲ総武線,飯田橋駅,1.0,0,1,0,0,新宿区,北町,-165625.67085804502,254625.67085804502,89000.0
ライブコア中井,東京都新宿区中落合４,35,3階,50000.0,0,1,122.0,https://suumo.jp/chintai/jnc_000075713576/?bc=100317337248,50000.0,0.0,都営大江戸線,落合南長崎駅,3.0,0,0,0,0,新宿区,中落合４,-165517.23689156154,215517.23689156154,50000.0
都電荒川線 面影橋駅 5階建 築27年,東京都新宿区西早稲田３,27,2階,93000.0,5000,1,27.12,https://suumo.jp/chintai/jnc_000049278022/?bc=100312582321,93000.0,93000.0,都電荒川線,面影橋駅,2.0,0,1,0,0,新宿区,西早稲田３,-165441.45616041846,263441.45616041846,98000.0
ＪＲ山手線 高田馬場駅 2階建 築8年,東京都新宿区下落合４,8,2階,65000.0,5000,1,9.822,https://suumo.jp/chintai/jnc_000029307149/?bc=100316370918,0.0,0.0,ＪＲ山手線,高田馬場駅,2.0,0,0,0,0,新宿区,下落合４,-164858.93658597805,234858.93658597805,70000.0
クレセール早稲田,東京都新宿区戸山１,4,1階,60000.0,4000,1,10.182,https://suumo.jp/chintai/jnc_000064574467/?bc=100315705857,0.0,0.0,東京メトロ東西線,早稲田駅,1.0,0,0,0,0,新宿区,戸山１,-164171.14752172475,228171.14752172475,64000.0
都営大江戸線 牛込柳町駅 6階建 築38年,東京都新宿区市谷柳町,38,4階,74000.0,5000,1,152.0,https://suumo.jp/chintai/jnc_000077348133/?bc=100300019196,0.0,74000.0,都営大江戸線,牛込柳町駅,4.0,0,0,0,0,新宿区,市谷柳町,-164009.58666577746,243009.58666577746,79000.0
東京メトロ副都心線 西早稲田駅 地下1地上14階建 築17年,東京都新宿区西早稲田２,17,4階,111000.0,8000,1,30.22,https://suumo.jp/chintai/jnc_000079782388/?bc=100313146710,111000.0,111000.0,東京メトロ副都心線,西早稲田駅,4.0,0,1,0,0,新宿区,西早稲田２,-163836.1571282936,282836.1571282936,119000.0
友愛ハイムI,東京都新宿区高田馬場１,39,2階,74000.0,2000,1,202.0,https://suumo.jp/chintai/jnc_000041429689/?bc=100316729559,74000.0,0.0,東京メトロ副都心線,西早稲田駅,2.0,0,1,0,0,新宿区,高田馬場１,-162468.93145611277,238468.93145611277,76000.0
メゾンパルク,東京都新宿区百人町３,24,2階,66000.0,3000,1,14.042,https://suumo.jp/chintai/jnc_000060388084/?bc=100317300032,0.0,66000.0,ＪＲ山手線,新大久保駅,2.0,0,0,0,0,新宿区,百人町３,-162467.88558891154,231467.88558891154,69000.0
都営新宿線 新宿三丁目駅 5階建 築42年,東京都新宿区新宿５,42,5階,92000.0,3000,1,30.32,https://suumo.jp/chintai/jnc_000079582558/?bc=100312390446,184000.0,92000.0,都営新宿線,新宿三丁目駅,5.0,0,0,0,0,新宿区,新宿５,-162389.42595485155,257389.42595485155,95000.0
旭ハイム,東京都新宿区下落合３,57,2階,53000.0,1000,1,17.52,https://suumo.jp/chintai/jnc_000080410320/?bc=100317817893,53000.0,0.0,ＪＲ山手線,目白駅,2.0,0,0,0,0,新宿区,下落合３,-162223.64175157202,216223.64175157202,54000.0
ＪＲ山手線 目白駅 2階建 築3年,東京都新宿区下落合３,3,2階,120000.0,0,1,31.22,https://suumo.jp/chintai/jnc_000058134915/?bc=100310697434,120000.0,120000.0,ＪＲ山手線,目白駅,2.0,1,0,1,0,新宿区,下落合３,-161877.60546142334,281877.60546142334,120000.0
カーサ中落合,東京都新宿区中落合１,46,1階,85000.0,3000,1,38.52,https://suumo.jp/chintai/jnc_000038187350/?bc=100317337058,85000.0,85000.0,西武新宿線,中井駅,1.0,1,0,1,0,新宿区,中落合１,-161753.2272576681,249753.2272576681,88000.0
東京メトロ東西線 神楽坂駅 地下1地上7階建 築36年,東京都新宿区榎町,36,4階,97000.0,10000,1,31.52,https://suumo.jp/chintai/jnc_000080904500/?bc=100319461998,0.0,0.0,東京メトロ東西線,神楽坂駅,4.0,0,1,0,0,新宿区,榎町,-161405.61929930322,268405.6192993032,107000.0
サン北新宿,東京都新宿区北新宿４,45,4階,70000.0,3000,1,262.0,https://suumo.jp/chintai/jnc_000074743438/?bc=100319503723,70000.0,0.0,ＪＲ中央線,東中野駅,4.0,1,0,0,0,新宿区,北新宿４,-161390.6664035647,234390.6664035647,73000.0
パレ・ドール早稲田,東京都新宿区早稲田鶴巻町,33,4階,79000.0,6000,1,22.982,https://suumo.jp/chintai/jnc_000070083223/?bc=100318557738,79000.0,79000.0,東京メトロ有楽町線,江戸川橋駅,4.0,0,0,0,0,新宿区,早稲田鶴巻町,-161301.5093748921,246301.5093748921,85000.0
ＳＴバード,東京都新宿区高田馬場３,33,1階,54000.0,0,1,12.442,https://suumo.jp/chintai/jnc_000074154311/?bc=100282056932,54000.0,0.0,ＪＲ山手線,高田馬場駅,1.0,0,0,0,0,新宿区,高田馬場３,-161180.75730868106,215180.75730868106,54000.0
東京メトロ東西線 早稲田駅 地下1地上4階建 築3年,東京都新宿区戸山１,3,4階,104000.0,8000,1,24.282,https://suumo.jp/chintai/jnc_000065564584/?bc=100317341764,0.0,0.0,東京メトロ東西線,早稲田駅,4.0,0,0,0,0,新宿区,戸山１,-161062.27607853775,273062.27607853775,112000.0
アーバンプレイス北新宿II,東京都新宿区北新宿１,10,2階,69000.0,5000,1,17.12,https://suumo.jp/chintai/jnc_000078466317/?bc=100309492299,0.0,0.0,ＪＲ中央線,大久保駅,2.0,0,0,0,0,新宿区,北新宿１,-160978.55500241878,234978.55500241878,74000.0
ベルシオン２１,東京都新宿区上落合３,32,2階,57000.0,2000,1,15.192,https://suumo.jp/chintai/jnc_000080025974/?bc=100314514722,0.0,0.0,西武新宿線,中井駅,2.0,0,0,0,0,新宿区,上落合３,-160735.06478968787,219735.06478968787,59000.0
ＪＲ山手線 新大久保駅 9階建 築15年,東京都新宿区百人町２,15,6階,90000.0,8000,1,21.752,https://suumo.jp/chintai/jnc_000079933955/?bc=100314625537,0.0,90000.0,ＪＲ山手線,新大久保駅,6.0,0,1,0,0,新宿区,百人町２,-160658.62620002264,258658.62620002264,98000.0
東京メトロ東西線 神楽坂駅 7階建 築5年,東京都新宿区西五軒町,5,2階,116000.0,10000,1,25.052,https://suumo.jp/chintai/jnc_000080528708/?bc=100317464281,0.0,0.0,東京メトロ東西線,神楽坂駅,2.0,0,1,0,0,新宿区,西五軒町,-160010.58401797165,286010.58401797165,126000.0
東京メトロ丸ノ内線 西新宿駅 3階建 築48年,東京都新宿区西新宿８,48,2階,75000.0,3000,1,25.922,https://suumo.jp/chintai/jnc_000020111094/?bc=100314661490,75000.0,75000.0,東京メトロ丸ノ内線,西新宿駅,2.0,1,0,0,0,新宿区,西新宿８,-159876.99248336413,237876.99248336413,78000.0
マチダアパート,東京都新宿区若葉３,53,1階,65000.0,0,1,21.062,https://suumo.jp/chintai/jnc_000079167246/?bc=100311927834,65000.0,65000.0,ＪＲ中央線,信濃町駅,1.0,0,1,0,0,新宿区,若葉３,-159512.69550361286,224512.69550361286,65000.0
三園ビル,東京都新宿区若葉２,53,3階,90000.0,0,1,312.0,https://suumo.jp/chintai/jnc_000079305266/?bc=100318476455,90000.0,90000.0,東京メトロ丸ノ内線,四谷三丁目駅,3.0,0,1,0,0,新宿区,若葉２,-159377.81856195506,249377.81856195506,90000.0
