マンション名,住所,築年数,階層,賃料料,管理費,間取り,専有面積,詳細URL,敷金,礼金,路線1,駅1,階1,間取りDK,間取りK,間取りL,間取りS,区,市町村,予測値との差,予測値,賃料料+管理費
ＪＲ山手線 新宿駅 2階建 築31年,東京都新宿区北新宿１,31,2階,69000.0,0,1,19.872,https://suumo.jp/chintai/jnc_000078230329/?bc=100309738332,69000.0,0.0,ＪＲ山手線,新宿駅,2.0,0,0,0,0,新宿区,北新宿１,-189527.39712513908,258527.39712513908,69000.0
東京メトロ丸ノ内線 新宿三丁目駅 2階建 築77年,東京都新宿区新宿６,77,2階,74000.0,1000,1,23.012,https://suumo.jp/chintai/jnc_000064100605/?bc=100317080124,74000.0,74000.0,東京メトロ丸ノ内線,新宿三丁目駅,2.0,0,1,0,0,新宿区,新宿６,-189411.2340136182,264411.2340136182,75000.0
Ｙ・ＡＰ,東京都新宿区喜久井町,30,1階,66000.0,0,1,17.012,https://suumo.jp/chintai/jnc_000079762347/?bc=100313045269,0.0,0.0,東京メトロ東西線,早稲田駅,1.0,0,0,0,0,新宿区,喜久井町,-189315.55843852318,255315.55843852318,66000.0
フィリップ下落合,東京都新宿区下落合４,8,2階,68500.0,5000,1,9.642,https://suumo.jp/chintai/jnc_000033582666/?bc=100315825360,0.0,0.0,西武新宿線,下落合駅,2.0,0,0,0,0,新宿区,下落合４,-189298.1994477749,262798.1994477749,73500.0
飯田橋ハイツ,東京都新宿区東五軒町,46,5階,64000.0,5000,1,19.842,https://suumo.jp/chintai/jnc_000060880404/?bc=100319442521,0.0,0.0,東京メトロ有楽町線,江戸川橋駅,5.0,0,0,0,0,新宿区,東五軒町,-189158.65758403373,258158.65758403373,69000.0
ウィーンハイツ,東京都新宿区西早稲田３,55,1階,65000.0,3000,1,16.612,https://suumo.jp/chintai/jnc_000071402212/?bc=100283355971,65000.0,65000.0,ＪＲ山手線,高田馬場駅,1.0,0,0,0,0,新宿区,西早稲田３,-189115.80994025822,257115.80994025822,68000.0
ファミール新宿,東京都新宿区大久保２,35,2階,67000.0,2000,1,20.462,https://suumo.jp/chintai/jnc_000045139592/?bc=100316381366,67000.0,0.0,ＪＲ山手線,高田馬場駅,2.0,0,1,0,0,新宿区,大久保２,-188733.1543925317,257733.1543925317,69000.0
ヒルサイドフラッツII,東京都新宿区築地町,52,2階,66000.0,3000,1,172.0,https://suumo.jp/chintai/jnc_000079295917/?bc=100283205006,66000.0,0.0,東京メトロ東西線,神楽坂駅,2.0,0,0,0,0,新宿区,築地町,-188607.00798169113,257607.00798169113,69000.0
日興パレセゾン早稲田,東京都新宿区西早稲田１,38,5階,65000.0,5000,1,19.082,https://suumo.jp/chintai/jnc_000080355991/?bc=100316308492,65000.0,65000.0,都電荒川線,早稲田駅,5.0,0,0,0,0,新宿区,西早稲田１,-187951.2803748716,257951.2803748716,70000.0
ローリエ矢来町,東京都新宿区矢来町,54,3階,50000.0,3000,1,23.972,https://suumo.jp/chintai/jnc_000080643538/?bc=100317958190,100000.0,50000.0,東京メトロ東西線,神楽坂駅,3.0,0,1,0,0,新宿区,矢来町,-187727.92074427547,240727.92074427547,53000.0
ＪＲ中央線 大久保駅 地下1地上7階建 築35年,東京都新宿区北新宿４,35,2階,60000.0,9000,1,19.632,https://suumo.jp/chintai/jnc_000078236791/?bc=100304699679,60000.0,0.0,ＪＲ中央線,大久保駅,2.0,0,0,0,0,新宿区,北新宿４,-187333.35433776976,256333.35433776976,69000.0
北新宿レーベル,東京都新宿区北新宿３,0,2階,90000.0,9000,1,15.382,https://suumo.jp/chintai/jnc_000080927507/?bc=100319392129,90000.0,0.0,ＪＲ中央線,東中野駅,2.0,0,1,0,0,新宿区,北新宿３,-187144.39634697366,286144.39634697366,99000.0
アスパイア上落合Ｃ,東京都新宿区上落合３,10,1階,56000.0,3000,1,11.522,https://suumo.jp/chintai/jnc_000074395068/?bc=100184110220,0.0,0.0,都営大江戸線,中井駅,1.0,0,0,0,0,新宿区,上落合３,-187023.5261960221,246023.5261960221,59000.0
ＪＲ山手線 高田馬場駅 2階建 築42年,東京都新宿区高田馬場４,42,2階,57000.0,3000,1,232.0,https://suumo.jp/chintai/jnc_000080369627/?bc=100316381908,57000.0,57000.0,ＪＲ山手線,高田馬場駅,2.0,0,1,0,0,新宿区,高田馬場４,-185902.01672917555,245902.01672917555,60000.0
スマイエ北新宿,東京都新宿区北新宿１,3,1階,73000.0,6000,1,92.0,https://suumo.jp/chintai/jnc_000080846321/?bc=100319114972,0.0,0.0,ＪＲ中央線,大久保駅,1.0,0,0,0,0,新宿区,北新宿１,-185423.6931981836,264423.6931981836,79000.0
ＣＯＺＹ２２１０,東京都新宿区北新宿２,20,2階,77000.0,3000,1,19.412,https://suumo.jp/chintai/jnc_000055057389/?bc=100317398289,0.0,0.0,ＪＲ山手線,新宿駅,2.0,0,0,0,0,新宿区,北新宿２,-184784.89604156086,264784.89604156086,80000.0
キングスガ－デン神楽坂,東京都新宿区南榎町,33,2階,62000.0,0,1,132.0,https://suumo.jp/chintai/jnc_000079177342/?bc=100265760043,0.0,0.0,東京メトロ東西線,神楽坂駅,2.0,0,0,0,0,新宿区,南榎町,-183555.64281574677,245555.64281574677,62000.0
都営大江戸線 落合南長崎駅 5階建 築32年,東京都新宿区中落合４,32,2階,59000.0,2000,1,16.22,https://suumo.jp/chintai/jnc_000052401195/?bc=100314374373,59000.0,0.0,都営大江戸線,落合南長崎駅,2.0,0,1,0,0,新宿区,中落合４,-181368.1174712516,242368.1174712516,61000.0
スターツ神楽坂,東京都新宿区赤城下町,22,1階,60000.0,0,1,132.0,https://suumo.jp/chintai/jnc_000080904494/?bc=100308091633,60000.0,60000.0,東京メトロ東西線,神楽坂駅,1.0,0,0,0,0,新宿区,赤城下町,-180231.03625945808,240231.03625945808,60000.0
ＴＯＰ四谷,東京都新宿区四谷３,40,4階,69000.0,3000,1,16.472,https://suumo.jp/chintai/jnc_000022287454/?bc=100316664615,0.0,0.0,東京メトロ丸ノ内線,四谷三丁目駅,4.0,0,0,0,0,新宿区,四谷３,-180160.68008574695,252160.68008574695,72000.0
メゾンド南郷,東京都新宿区原町３,41,2階,78000.0,2000,1,322.0,https://suumo.jp/chintai/jnc_000080369642/?bc=100313890954,78000.0,0.0,都営大江戸線,牛込柳町駅,2.0,1,0,0,0,新宿区,原町３,-179739.17915780062,259739.17915780062,80000.0
